Time,event_id,state,event_type,damage_property,damage_crops,begin_lat,begin_lon,end_lat,end_lon,event_narrative,storm_duration,begin_day,end_day,year,end_timestamp
24-Feb-2016 19:08:00,619251,MARYLAND,Flood,0.00K,0.00K,39.2406,-76.6929,39.2406,-76.692,"The stream gauge on East Branch Herbert Run at Arbutus reached a flood stage of 7 feet. The gauge peaked at 7.18 feet at 19:15 feet. Water covered yards near Tom Day Boulevard.",00:23:00,24,24,2016,24-Feb-0016 19:31:00
24-May-2016 12:30:00,627761,MISSOURI,Flood,0.00K,0.00K,36.6052,-91.3989,36.6056,-91.3979,"MODOT reported Route A was closed west of Couch due to flooding.",02:00:00,24,24,2016,24-May-0016 14:30:00
31-Jul-2016 07:00:00,640966,NEW JERSEY,Heavy Rain,0.00K,0.00K,40.51,-74.86,40.51,-74.86,"Heavy rain fell from thunderstorms.",00:00:00,31,31,2016,31-Jul-0016 07:00:00
11-May-2016 07:30:00,627820,KANSAS,Heavy Rain,0.00K,0.00K,37.84,-94.71,37.84,-94.71,"A CO-OP observer measured a 24 hour rainfall total of 2.11 inches. Pea size hail was also reported.",00:00:00,11,11,2016,11-May-0016 07:30:00
18-Feb-2016 18:16:00,614162,MONTANA,High Wind,0.00K,0.00K,NaN,NaN,NaN,NaN,"A wind gust of 59 mph was reported just east of Columbus.",00:05:00,18,18,2016,18-Feb-0016 18:21:00
24-Feb-2016 03:10:00,618633,FLORIDA,Thunderstorm Wind,0.00K,0.00K,30.4642,-84.2386,30.4642,-84.2386,"A tree was blown down at Doomar Dr and Miccosukee Road.",00:00:00,24,24,2016,24-Feb-0016 03:10:00
10-Jun-2016 11:00:00,640663,SOUTH DAKOTA,Excessive Heat,0.00K,0.00K,NaN,NaN,NaN,NaN,"Temperatures reaching daytime highs of 95 to 100 after a period of cool weather were accompanied by humid conditions, with the heat index rising to a little above 100 degrees. An unknown number of people suffered from heat stress, heat exhaustion, or dehydration, as reported by hospital emergency rooms.",55:00:00,10,12,2016,12-Jun-0016 18:00:00
18-Jan-2016 17:00:00,617191,WYOMING,Winter Weather,0.00K,0.00K,NaN,NaN,NaN,NaN,"The Webber Springs SNOTEL site (elevation 9250 ft) estimated six inches of snow.",12:00:00,18,19,2016,19-Jan-0016 05:00:00
20-Jan-2016 12:45:00,616528,WYOMING,High Wind,0.00K,0.00K,NaN,NaN,NaN,NaN,"The WYDOT sensor at Otto Road measured sustained winds of 40 mph or higher.",01:15:00,20,20,2016,20-Jan-0016 14:00:00
15-Feb-2016 22:15:00,618685,FLORIDA,Thunderstorm Wind,0.00K,0.00K,30.0392,-84.9837,30.0392,-84.9837,"A tree was blown across SR-65 near Sumatra.",00:00:00,15,15,2016,15-Feb-0016 22:15:00
15-Feb-2016 22:55:00,618687,FLORIDA,Thunderstorm Wind,30.00K,0.00K,29.85,-84.66,29.85,-84.66,"A tree was blown down onto a house near Carrabelle.  Damage was estimated.",00:00:00,15,15,2016,15-Feb-0016 22:55:00
15-Feb-2016 22:55:00,618689,FLORIDA,Thunderstorm Wind,0.00K,0.00K,30.06,-84.48,30.06,-84.48,"Multiple trees were blown down in Sopchoppy.",00:00:00,15,15,2016,15-Feb-0016 22:55:00
22-Jan-2016 17:00:00,617365,PENNSYLVANIA,Winter Storm,,,NaN,NaN,NaN,NaN,"Snow began during the late afternoon hours on Friday, January 22nd, and continued through the overnight hours, through Saturday, into Saturday night. Winds gusting over 35 mph late Friday night and Saturday reduced visibilities to under one-quarter mile at times. Some representative snowfall totals include 23.5 inches near Garnet Oaks, 22.4 inches at Philadelphia International Airport, 22.0 inches in Broomall, 21.5 inches in Chadds Ford, and 20.0 inches in Springfield. The 22.4 inch storm total snowfall at Philadelphia International Airport is exactly equal to the City's normal snowfall for the entire season. This was also the 4th greatest two-day total on record dating back to the 1870s. The greatest two-day total on record is 30.7 inches set during the January 7-8, 1996 storm. In addition, a total of 19.4 inches of snow fell at the Philadelphia International Airport on Saturday, January 23rd, establishing a new record for the date. The previous record daily maximum snowfall for January 23rd was 11.9 inches set in 1935.",33:00:00,22,24,2016,24-Jan-0016 02:00:00
15-Feb-2016 18:50:00,618674,FLORIDA,Thunderstorm Wind,0.00K,0.00K,30.94,-86.06,30.94,-86.06,"Trees were blown down on Otter Pond Road near Highway 2.",00:00:00,15,15,2016,15-Feb-0016 18:50:00
15-Feb-2016 18:57:00,618675,FLORIDA,Thunderstorm Wind,0.00K,0.00K,30.37,-86.29,30.37,-86.29,"Trees were blown down in Topsill State Park.",00:00:00,15,15,2016,15-Feb-0016 18:57:00
29-Jan-2016 21:00:00,617262,WYOMING,Winter Storm,0.00K,0.00K,NaN,NaN,NaN,NaN,"The Whiskey Park SNOTEL site (elevation 8950 ft) estimated 21 inches of snow.",24:00:00,29,30,2016,30-Jan-0016 21:00:00
09-Feb-2016 03:00:00,621714,MARYLAND,Winter Storm,,,NaN,NaN,NaN,NaN,"Between 5 and 7 inches of snow was reported.",10:00:00,9,9,2016,09-Feb-0016 13:00:00
09-Feb-2016 06:00:00,621716,MARYLAND,Winter Weather,,,NaN,NaN,NaN,NaN,"Between 1 and 3 inches of snow were reported over the 12 hour period.",05:00:00,9,9,2016,09-Feb-0016 11:00:00
09-Feb-2016 06:00:00,621717,MARYLAND,Winter Weather,,,NaN,NaN,NaN,NaN,"Between 1 and 3 inches of snow were reported over the 12 hour period.",05:00:00,9,9,2016,09-Feb-0016 11:00:00
31-Jul-2016 09:00:00,640970,NEW JERSEY,Heavy Rain,,,40.57,-74.8,40.57,-74.8,"Heavy rain fell from thunderstorms from 2 pm on 7/20 through 10 am on 7/31.",00:00:00,31,31,2016,31-Jul-0016 09:00:00
29-Jul-2016 08:15:00,640887,NEW JERSEY,Heavy Rain,,,39.38,-75.21,39.38,-75.21,"Over three inches of heavy rainfall fell due to thunderstorms.",00:00:00,29,29,2016,29-Jul-0016 08:15:00
13-May-2016 17:30:00,629255,FLORIDA,Thunderstorm Wind,,,29.54,-82.03,29.54,-82.03,"A tree was blown down along Lake Susan Road. The time of damage was based on radar.",00:00:00,13,13,2016,13-May-0016 17:30:00
08-Feb-2016 18:00:00,619164,IOWA,Winter Weather,0.00K,0.00K,NaN,NaN,NaN,NaN,"Slowly decreasing winds that gusted over 40 mph early in the evening combined with existing snow cover to cause areas of blowing snow, with visibilities below a half mile in open areas gradually abating. This came after blizzard conditions during the day began to abate at the end of the afternoon.",06:00:00,8,9,2016,09-Feb-0016 00:00:00
13-Feb-2016 10:00:00,619191,MINNESOTA,Winter Weather,0.00K,0.00K,NaN,NaN,NaN,NaN,"Snowfall of 1 to 4 inches combined with southeast winds gusting around 30 mph at times to produce areas of blowing snow, with visibilities lowering locally to below one mile. An accumulation of 3 inches was reported near Lakefield.",23:00:00,13,14,2016,14-Feb-0016 09:00:00
13-Feb-2016 10:00:00,619193,IOWA,Winter Weather,0.00K,0.00K,NaN,NaN,NaN,NaN,"Snowfall of 1 to 3 inches combined with southeast winds gusting around 30 mph at times to produce areas of blowing snow, with visibilities lowering locally to below one mile.",23:00:00,13,14,2016,14-Feb-0016 09:00:00
13-Feb-2016 10:00:00,619195,IOWA,Winter Weather,0.00K,0.00K,NaN,NaN,NaN,NaN,"Snowfall of 1 to 4 inches combined with southeast winds gusting around 30 mph at times to produce areas of blowing snow, with visibilities lowering locally to below one mile. An accumulation of 3.2 inches was reported at Orange City.",23:00:00,13,14,2016,14-Feb-0016 09:00:00
25-Feb-2016 11:57:00,619257,MARYLAND,Flood,0.00K,0.00K,38.8141,-76.7496,38.8129,-76.7505,"The stream gauge on Western Branch at Upper Marlboro reached a flood stage of 11 feet. The gauge peaked at 11.53 feet at 14:30 EST. The Water Street bridge in Upper Marlboro was completely covered by water.",06:44:00,25,25,2016,25-Feb-0016 18:41:00
03-Feb-2016 21:52:00,621520,VIRGINIA,Dense Fog,,,NaN,NaN,NaN,NaN,"IAD reported reduced visibilities of one quarter mile or less.",06:06:00,3,4,2016,04-Feb-0016 03:58:00
10-Jun-2016 11:00:00,640693,IOWA,Excessive Heat,0.00K,0.00K,NaN,NaN,NaN,NaN,"Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions, with the heat index rising to a little above 100 degrees. An unknown number of people suffered from heat stress, heat exhaustion, or dehydration, as reported by hospital emergency rooms.",55:00:00,10,12,2016,12-Jun-0016 18:00:00
10-May-2016 18:30:00,627326,KENTUCKY,Hail,,,37.7505,-83.5241,37.7505,-83.5241,"Large hail was reported in the Hazel Green area.",00:00:00,10,10,2016,10-May-0016 18:30:00
18-Jul-2016 18:00:00,637984,ARIZONA,Thunderstorm Wind,5.00K,0.00K,33.43,-112.02,33.43,-112.02,"Isolated strong thunderstorms developed across the greater Phoenix metropolitan area during the late afternoon and early evening hours on July 18th. Some of the stronger storms affected central Phoenix and the area around Sky Harbor International Airport, bringing gusty and damaging winds estimated to be in excess of 60 mph. According to an article on the ABC15.com website, gusty winds blew down a cinder block wall at a home near 30th Street and Baseline Road. In the same neighborhood, the same strong winds blew down a second cinder block wall and also blew a street sign down the block. The warped sign ended up a block from its pole. No injuries were reported.",00:10:00,18,18,2016,18-Jul-0016 18:10:00
01-Jan-2016 00:00:00,616419,ARKANSAS,Flood,0.00K,0.00K,35.2703,-91.2393,35.2685,-91.2373,"The Cache River at Patterson remained above flood stage from November, and fell below flood stage during the morning hours on the 26th.",600:00:00,1,26,2016,26-Jan-0016 00:00:00
15-Feb-2016 19:22:00,618678,FLORIDA,Thunderstorm Wind,5.00K,0.00K,30.29,-86.02,30.29,-86.02,"A high tension power line was blown down on Highway 98 near Breakers Street resulting in a large power outage.",00:00:00,15,15,2016,15-Feb-0016 19:22:00
21-Feb-2016 17:12:00,621528,MARYLAND,Dense Fog,,,NaN,NaN,NaN,NaN,"NAK reported reduced visibilities of one quarter mile or less.",03:28:00,21,21,2016,21-Feb-0016 20:40:00
24-Feb-2016 18:55:00,621530,VIRGINIA,Dense Fog,,,NaN,NaN,NaN,NaN,"Reduced visibilities of one quarter mile or less were reported at 8W2.",03:20:00,24,24,2016,24-Feb-0016 22:15:00
09-Feb-2016 03:00:00,621729,WEST VIRGINIA,Winter Weather,,,NaN,NaN,NaN,NaN,"Between 1 and 4 inches of snow was reported.",10:00:00,9,9,2016,09-Feb-0016 13:00:00
12-Jun-2016 12:47:00,641557,WYOMING,Hail,0.00K,0.00K,41.1111,-104.82,41.1111,-104.82,"Half dollar size hail was reported five miles south of Cheyenne.",00:02:00,12,12,2016,12-Jun-0016 12:49:00
28-Jun-2016 14:43:00,641725,WYOMING,Thunderstorm Wind,0.00K,0.00K,42.86,-105.87,42.86,-105.87,"Estimated wind gusts of 60 mph were reported at Glenrock.",00:02:00,28,28,2016,28-Jun-0016 14:45:00
24-May-2016 17:15:00,627766,MISSOURI,Flood,0.00K,0.00K,36.7521,-91.8717,36.7522,-91.8706,"A NWS employee reported the low water crossing over Galloway Creek on Girdley Street in West Plains was flooded.",03:00:00,24,24,2016,24-May-0016 20:15:00
02-May-2016 15:00:00,628495,FLORIDA,Wildfire,0.00K,0.00K,NaN,NaN,NaN,NaN,"A wildfire about 2 miles east of Bostwick grew about 250 acres. The fire was about 60 percent contained as of the late evening report. One dozen homes were threatened during the late afternoon, but no damages occurred.",00:00:00,2,2,2016,02-May-0016 15:00:00
03-May-2016 17:10:00,628515,GEORGIA,Thunderstorm Wind,0.00K,0.00K,31.7,-82.92,31.7,-82.92,"A tree was blown down in Pridgen.",00:00:00,3,3,2016,03-May-0016 17:10:00
04-May-2016 07:10:00,628530,FLORIDA,Hail,0.00K,0.00K,29.45,-81.37,29.45,-81.37,"Quarter size hail was reported in Daytona North by an off duty Fire Rescue Captain.",00:00:00,4,4,2016,04-May-0016 07:10:00
04-May-2016 11:05:00,628538,FLORIDA,Hail,0.00K,0.00K,29.81,-81.31,29.81,-81.31,"Dime to penny size hail was observed in St. Augustine Shores.",00:00:00,4,4,2016,04-May-0016 11:05:00
04-May-2016 07:35:00,628543,FLORIDA,Lightning,2.00K,0.00K,29.48,-81.18,29.48,-81.18,"A vehicle was struck by lightning at State Road 100 and Interstate 95. The cost of damage was unknown but was estimated for the event to be included in StormData.",00:00:00,4,4,2016,04-May-0016 07:35:00
12-Jan-2016 00:00:00,607829,INDIANA,Winter Weather,0.00K,0.00K,NaN,NaN,NaN,NaN,"Reports of slide-offs and accidents, along with school delays, were common on January 12th due to snow and blowing snow. Snow accumulations across the country generally ranged between 1 and 3 inches. The accumulating snow combined with temperatures falling into the teens and reduced visibilities created difficult driving conditions.",12:00:00,12,12,2016,12-Jan-0016 12:00:00
24-Feb-2016 04:02:00,618659,GEORGIA,Thunderstorm Wind,0.00K,0.00K,31.1638,-83.7838,31.1638,-83.7838,"A tree was blown down near the intersection of 3rd Street and 12th Ave.",00:00:00,24,24,2016,24-Feb-0016 04:02:00
17-Jan-2016 08:21:00,610446,ATLANTIC SOUTH,Marine Thunderstorm Wind,,,25.66,-80.19,25.66,-80.19,"WxFlow site XKBS near Key Biscayne recorded a gust to 46 mph (40kts).",00:00:00,17,17,2016,17-Jan-0016 08:21:00
12-Jan-2016 06:00:00,614499,PUERTO RICO,Coastal Flood,0.00K,0.00K,NaN,NaN,NaN,NaN,"Reports of debris over coastal costal roads were received across sector Costa Norte in Camuy. The event took place during the overnight and early morning hours.",25:00:00,12,13,2016,13-Jan-0016 07:00:00
31-Jul-2016 06:00:00,640942,NEW JERSEY,Heavy Rain,0.00K,0.00K,40.88,-74.46,40.88,-74.46,"Heavy rain fell from thunderstorms.",00:00:00,31,31,2016,31-Jul-0016 06:00:00
31-Jul-2016 06:00:00,640943,NEW JERSEY,Heavy Rain,0.00K,0.00K,40.64,-74.82,40.64,-74.82,"Heavy rain fell from thunderstorms.",00:00:00,31,31,2016,31-Jul-0016 06:00:00
15-Feb-2016 23:12:00,619383,FLORIDA,Thunderstorm Wind,0.00K,0.00K,30.2205,-84.2516,30.2205,-84.2516,"Trees were blown down on the 2700 block of Shadeville Road.",00:00:00,15,15,2016,15-Feb-0016 23:12:00
24-Feb-2016 19:43:00,619609,VIRGINIA,Flood,0.00K,0.00K,38.4351,-77.4033,38.4368,-77.4028,"Austin Run Boulevard was closed at Jefferson Davis Highway due to high water.",06:04:00,24,25,2016,25-Feb-0016 01:47:00
12-Jun-2016 13:55:00,641564,WYOMING,Hail,0.00K,0.00K,41.9784,-105.0464,41.9784,-105.0464,"Quarter size hail was reported seven miles southwest of Wheatland.",00:01:00,12,12,2016,12-Jun-0016 13:56:00
14-Feb-2016 21:00:00,622475,VIRGINIA,Winter Storm,,,NaN,NaN,NaN,NaN,"Between 5 and 8 inches of snow was reported.",33:00:00,14,16,2016,16-Feb-0016 06:00:00
29-Jul-2016 07:00:00,640885,NEW JERSEY,Heavy Rain,,,39.39,-75.05,39.39,-75.05,"Just over two inches of heavy rain fell with thunderstorms.",00:00:00,29,29,2016,29-Jul-0016 07:00:00
26-May-2016 16:20:00,627783,MISSOURI,Thunderstorm Wind,10.00K,0.00K,38.43,-92.84,38.43,-92.84,"Numerous trees were blown down as well as power poles snapped around the Versailles area.",00:00:00,26,26,2016,26-May-0016 16:20:00
25-May-2016 08:00:00,627801,MISSOURI,Lightning,25.00K,0.00K,37.7072,-91.867,37.7072,-91.867,"A farmer near Edgar Springs lost a dozen cows due to a lightning strike. Cows were gathered around a tree when the tree was struck by lightning and killed the cows. Time and location was estimated.",00:00:00,25,25,2016,25-May-0016 08:00:00
30-May-2016 14:30:00,627802,MISSOURI,Flash Flood,0.00K,0.00K,37.8275,-94.0667,37.829,-94.0676,"There was a few roads flooded and impassable near 151 Road and East 500 Road west of Highway 32 southwest of El Dorado Springs.",02:00:00,30,30,2016,30-May-0016 16:30:00
24-Feb-2016 03:07:00,618635,FLORIDA,Thunderstorm Wind,1.00K,0.00K,30.4381,-84.3278,30.4381,-84.3278,"A tree was blown down onto a power line at Mabry St and Bell Vue Way.",00:00:00,24,24,2016,24-Feb-0016 03:07:00
24-Feb-2016 01:20:00,618668,GEORGIA,Thunderstorm Wind,0.00K,0.00K,31.5995,-84.3091,31.5995,-84.3091,"A tree was blown down on the 5400 block of Old Dawson Road.",00:00:00,24,24,2016,24-Feb-0016 01:20:00
10-Jun-2016 11:00:00,640670,SOUTH DAKOTA,Excessive Heat,0.00K,0.00K,NaN,NaN,NaN,NaN,"Temperatures reaching daytime highs of 95 to 100 after a period of cool weather were accompanied by humid conditions, with the heat index rising to a little above 100 degrees. An unknown number of people suffered from heat stress, heat exhaustion, or dehydration, as reported by hospital emergency rooms.",55:00:00,10,12,2016,12-Jun-0016 18:00:00
31-Jul-2016 06:00:00,640946,NEW JERSEY,Heavy Rain,0.00K,0.00K,40.56,-74.75,40.56,-74.75,"Heavy rain fell from thunderstorms.",00:00:00,31,31,2016,31-Jul-0016 06:00:00
02-Feb-2016 02:35:00,621501,VIRGINIA,Dense Fog,,,NaN,NaN,NaN,NaN,"LUA reported reduced visibilities of one quarter mile or less.",06:40:00,2,2,2016,02-Feb-0016 09:15:00
14-Feb-2016 23:00:00,622494,VIRGINIA,Ice Storm,,,NaN,NaN,NaN,NaN,"Between 0.2 and 0.3 inches of ice was reported across the northern portions of the county.",33:00:00,14,16,2016,16-Feb-0016 08:00:00
14-Feb-2016 23:00:00,622496,VIRGINIA,Ice Storm,,,NaN,NaN,NaN,NaN,"Between 0.2 and 0.3 inches of ice was reported across the northern portions of the county.",33:00:00,14,16,2016,16-Feb-0016 08:00:00
12-Jun-2016 14:50:00,641569,WYOMING,Hail,0.00K,0.00K,42.2671,-104.95,42.2671,-104.95,"Ping pong ball size hail was reported north of Wheatland.",00:02:00,12,12,2016,12-Jun-0016 14:52:00
14-Feb-2016 21:00:00,622488,VIRGINIA,Winter Weather,,,NaN,NaN,NaN,NaN,"Between 2 and 4 inches of snow was reported around the county.",35:00:00,14,16,2016,16-Feb-0016 08:00:00
22-Jan-2016 19:00:00,617373,NEW JERSEY,Blizzard,,,NaN,NaN,NaN,NaN,"Snow began during the evening hours on the 22nd, then continued, heavy at times through the 23rd before ending early on the 24th.  Snowfall totals included 27.7 inches in Metuchen, 24.0 inches in East Brunswick, 23.0 inches in Perth Amboy, 19.0 inches in Woodbridge, 18.0 inches in Milltown, 17.0 inches in Highland Park, and 16.0 inches in Cheesequake.",33:00:00,22,24,2016,24-Jan-0016 04:00:00
22-Jan-2016 18:00:00,617368,NEW JERSEY,Blizzard,,,NaN,NaN,NaN,NaN,"Snow began during the evening hours on the 22nd, then continued, heavy at times through the 23rd before ending early on the 24th.  Snowfall totals included 22.5 inches in Florence, 20.5 inches at the National Weather Service Office in Westampton Township, 20.5 inches in Mount Laurel, 20.0 inches in Delanco, and 16.0 inches in Pemberton.",33:00:00,22,24,2016,24-Jan-0016 03:00:00
22-Jan-2016 19:00:00,617376,NEW JERSEY,Blizzard,,,NaN,NaN,NaN,NaN,"Snow began during the evening hours on the 22nd, then continued, heavy at times through the 23rd before ending early on the 24th.  Snowfall totals included 30.0 inches in Long Valley, 29.0 inches in Madison, 26.0 inches in Budd Lake, 25.3 inches in Green Pond, 22.5 inches in Butler, 21.0 inches in Chatham, and 18.0 inches in Marcella.",33:00:00,22,24,2016,24-Jan-0016 04:00:00
20-May-2016 15:34:00,642204,WYOMING,Hail,0.00K,0.00K,42.76,-104.3317,42.76,-104.3317,"Half dollar size hail was reported six miles east of Lusk.",00:03:00,20,20,2016,20-May-0016 15:37:00
19-Feb-2016 04:30:00,619298,SOUTH DAKOTA,High Wind,,0.00K,NaN,NaN,NaN,NaN,"Westerly winds behind a cold front reach sustained speed of 40 to 45 mph for a few hours. The high winds caused spotty power line and traffic light damage.",04:30:00,19,19,2016,19-Feb-0016 09:00:00
31-Jul-2016 05:30:00,640935,NEW JERSEY,Heavy Rain,,,40.51,-74.85,40.51,-74.85,"Just over two inches of rain fell from thunderstorms.",00:00:00,31,31,2016,31-Jul-0016 05:30:00
15-Feb-2016 23:15:00,619353,FLORIDA,Thunderstorm Wind,0.00K,0.00K,30.17,-84.21,30.17,-84.21,"Trees were blown down on Ivey Adams Street.",00:00:00,15,15,2016,15-Feb-0016 23:15:00
15-Feb-2016 23:02:00,619388,FLORIDA,Thunderstorm Wind,0.00K,0.00K,30.1256,-84.3678,30.1256,-84.3678,"Trees were blown down on Five Anchors Drive.",00:00:00,15,15,2016,15-Feb-0016 23:02:00
31-Jul-2016 07:00:00,640963,NEW JERSEY,Heavy Rain,0.00K,0.00K,40.27,-74.73,40.27,-74.73,"Heavy rain fell from thunderstorms.",00:00:00,31,31,2016,31-Jul-0016 07:00:00
08-Feb-2016 22:00:00,621733,WEST VIRGINIA,Winter Weather,,,NaN,NaN,NaN,NaN,"Between 1 and 6 inches of snow was reported.",12:00:00,8,9,2016,09-Feb-0016 10:00:00
05-Jan-2016 10:00:00,615553,CALIFORNIA,Winter Storm,0.00K,0.00K,NaN,NaN,NaN,NaN,"Significant winter storm conditions developed in the mountains of Los Angeles county. At the resort level (about 7000 feet), anywhere from 18 to 28 inches of snowfall was reported. Along with the snow, south winds gusting between 45 and 60 MPH were reported.",36:00:00,5,6,2016,06-Jan-0016 22:00:00
22-Jan-2016 00:00:00,616596,NORTH CAROLINA,Winter Storm,0.00K,0.00K,NaN,NaN,NaN,NaN,"Snowfall/sleet amounts of around 2 inches fell across the county. In addition, one quarter of an inch of freezing rain accrual was reported.",41:00:00,22,23,2016,23-Jan-0016 17:00:00
25-Jan-2016 23:30:00,616632,MONTANA,Dense Fog,0.00K,0.00K,NaN,NaN,NaN,NaN,"Combined observations from both the Poplar mesonet site and the Wolf Point ASOS site show a persistent dense fog present from late night on the 25th through the early morning hours on the 26th.",07:23:00,25,26,2016,26-Jan-0016 06:53:00
25-Jan-2016 22:30:00,615924,MICHIGAN,Winter Weather,0.00K,0.00K,NaN,NaN,NaN,NaN,"The observer 15 miles south of Wetmore measured 3.8 inches of snow in less than 12 hours.",09:30:00,25,26,2016,26-Jan-0016 08:00:00
15-Feb-2016 18:10:00,618594,ALABAMA,Thunderstorm Wind,3.00K,0.00K,31.57,-86.06,31.57,-86.06,"Trees and power lines were blown down in the northwest part of Coffee county.",00:00:00,15,15,2016,15-Feb-0016 18:10:00
30-Jul-2016 21:45:00,640930,NEW JERSEY,Heavy Rain,,,40.34,-74.56,40.34,-74.56,"Five and three quarters inches of heavy rainfall from thunderstorms was measured at the Simonson Farms in Cranbury Twp.",00:00:00,30,30,2016,30-Jul-0016 21:45:00
09-May-2016 21:33:00,625435,KANSAS,Hail,0.00K,0.00K,37.17,-94.97,37.17,-94.97,"Quarter size hail was reported 7 miles west of Columbus.",00:00:00,9,9,2016,09-May-0016 21:33:00
17-May-2016 06:30:00,625430,MISSOURI,Flood,0.00K,0.00K,37.0358,-92.1901,37.0369,-92.1887,"Rouute EE was flooded southwest of Cabool.",03:00:00,17,17,2016,17-May-0016 09:30:00
17-May-2016 08:55:00,625432,MISSOURI,Flood,0.00K,0.00K,37.3133,-92.3999,37.311,-92.3965,"Route E was closed due to flooding in eastern Wright County.",03:00:00,17,17,2016,17-May-0016 11:55:00
19-Feb-2016 05:00:00,619337,NEBRASKA,High Wind,,0.00K,NaN,NaN,NaN,NaN,"Westerly winds behind a cold front reach sustained speed of 40 to 45 mph for a few hours. The high winds caused spotty power line and traffic light damage.",05:00:00,19,19,2016,19-Feb-0016 10:00:00
10-Jun-2016 11:00:00,640662,SOUTH DAKOTA,Excessive Heat,0.00K,0.00K,NaN,NaN,NaN,NaN,"Temperatures reaching daytime highs of 95 to 100 after a period of cool weather were accompanied by humid conditions, with the heat index rising to a little above 100 degrees. An unknown number of people suffered from heat stress, heat exhaustion, or dehydration, as reported by hospital emergency rooms.",55:00:00,10,12,2016,12-Jun-0016 18:00:00
24-May-2016 16:45:00,627818,MISSOURI,Heavy Rain,0.00K,0.00K,36.98,-91.36,36.98,-91.36,"A CO-OP observer reported 3.21 inches of rainfall 3 miles southwest of Winona.",00:00:00,24,24,2016,24-May-0016 16:45:00
06-Jan-2016 13:30:00,616274,E PACIFIC,Waterspout,0.00K,0.00K,33.0194,-117.2924,33.0194,-117.2924,"At least one waterspout sighted west of Cardiff by the Sea State Beach.",00:45:00,6,6,2016,06-Jan-0016 14:15:00
21-Jan-2016 07:10:00,610040,LOUISIANA,Hail,0.00K,0.00K,32.2409,-92.7113,32.2409,-92.7113,"Nickel sized hail fell in Jonesboro.",00:00:00,21,21,2016,21-Jan-0016 07:10:00
